"OrderID","ProductID","Qty","OrderID-2","ProductID-2","Qty-2"
"CA-2014-100706","TEC-AC-10001314",2,NULL,NULL,NULL
"CA-2014-100762","OFF-PA-10001815",3,NULL,NULL,NULL
"CA-2014-101427","OFF-AR-10002257",3,NULL,NULL,NULL
"CA-2014-102652","FUR-FU-10001918",7,NULL,NULL,NULL
"CA-2014-102869","OFF-PA-10000788",3,NULL,NULL,NULL
"CA-2014-103310","TEC-PH-10001817",5,NULL,NULL,NULL
"CA-2014-103331","OFF-PA-10002160",3,NULL,NULL,NULL
"CA-2014-103492","OFF-BI-10004817",5,NULL,NULL,NULL
"CA-2014-104829","OFF-PA-10003016",7,NULL,NULL,NULL
"CA-2014-105165","FUR-TA-10004154",1,NULL,NULL,NULL
"CA-2014-105648","FUR-TA-10002958",3,NULL,NULL,NULL
"CA-2014-106439","OFF-AR-10001419",3,NULL,NULL,NULL
"CA-2014-106439","TEC-AC-10004568",9,NULL,NULL,NULL
"CA-2014-108861","OFF-BI-10003876",4,NULL,NULL,NULL
"CA-2014-110611","OFF-ST-10000642",5,NULL,NULL,NULL
"CA-2014-111150","OFF-AR-10000034",7,NULL,NULL,NULL
"CA-2014-111962","OFF-BI-10001308",2,NULL,NULL,NULL
"CA-2014-112158","TEC-AC-10003628",4,NULL,NULL,NULL
"CA-2014-113166","OFF-PA-10001947",2,NULL,NULL,NULL
"CA-2014-113271","OFF-AR-10003251",2,NULL,NULL,NULL
"CA-2014-113271","OFF-PA-10002365",5,NULL,NULL,NULL
"CA-2014-113383","FUR-FU-10001986",5,NULL,NULL,NULL
"CA-2014-113383","OFF-AP-10004532",4,NULL,NULL,NULL
"CA-2014-114314","OFF-LA-10000240",1,NULL,NULL,NULL
"CA-2014-114510","OFF-ST-10003221",2,NULL,NULL,NULL
"CA-2014-115056","OFF-AP-10003971",3,NULL,NULL,NULL
"CA-2014-115259","OFF-FA-10000621",14,NULL,NULL,NULL
"CA-2014-115259","OFF-PA-10004965",3,NULL,NULL,NULL
"CA-2014-115973","OFF-AR-10004757",1,NULL,NULL,NULL
"CA-2014-116407","OFF-PA-10002137",4,NULL,NULL,NULL
"CA-2014-116904","OFF-BI-10000301",2,NULL,NULL,NULL
"CA-2014-117478","OFF-BI-10000050",3,NULL,NULL,NULL
"CA-2014-119529","OFF-BI-10000546",2,NULL,NULL,NULL
"CA-2014-120950","OFF-PA-10000587",6,NULL,NULL,NULL
"CA-2014-121006","OFF-PA-10000130",3,NULL,NULL,NULL
"CA-2014-121286","OFF-AP-10004859",5,NULL,NULL,NULL
"CA-2014-121762","TEC-AC-10000736",3,NULL,NULL,NULL
"CA-2014-122217","FUR-FU-10002045",5,NULL,NULL,NULL
"CA-2014-122567","OFF-BI-10002012",3,NULL,NULL,NULL
"CA-2014-122931","OFF-ST-10004459",6,NULL,NULL,NULL
"CA-2014-123323","OFF-BI-10003684",7,NULL,NULL,NULL
"CA-2014-123344","OFF-ST-10001713",4,NULL,NULL,NULL
"CA-2014-123498","OFF-EN-10004773",3,NULL,NULL,NULL
"CA-2014-124513","OFF-AR-10002956",3,NULL,NULL,NULL
"CA-2014-124723","FUR-TA-10001307",2,NULL,NULL,NULL
"CA-2014-125556","OFF-BI-10003460",10,NULL,NULL,NULL
"CA-2014-125612","OFF-ST-10003221",2,NULL,NULL,NULL
"CA-2014-126032","TEC-AC-10000158",3,NULL,NULL,NULL
"CA-2014-126277","OFF-BI-10004022",3,NULL,NULL,NULL
"CA-2014-126760","FUR-CH-10003312",3,NULL,NULL,NULL
"CA-2014-127012","OFF-AR-10003903",1,NULL,NULL,NULL
"CA-2014-127446","OFF-LA-10001317",1,NULL,NULL,NULL
"CA-2014-128209","FUR-BO-10002213",10,NULL,NULL,NULL
"CA-2014-129147","OFF-BI-10001098",3,NULL,NULL,NULL
"CA-2014-129189","OFF-AP-10000124",3,NULL,NULL,NULL
"CA-2014-129364","TEC-AC-10004227",10,NULL,NULL,NULL
"CA-2014-131450","FUR-FU-10001979",8,NULL,NULL,NULL
"CA-2014-131905","TEC-PH-10001615",5,NULL,NULL,NULL
"CA-2014-132010","OFF-BI-10002432",3,NULL,NULL,NULL
